2026-05-29 11:39:02,909 | INFO | __main__ | The program has been activated! 
2026-05-29 11:39:02,909 | INFO | __main__ | Loading the json file 
2026-05-29 11:39:02,910 | INFO | __main__ | Displays a menu to the user 
2026-05-29 11:39:07,371 | INFO | __main__ | Asks for a choice from the user 
2026-05-29 11:39:07,371 | ERROR | __main__ | User entered an invalid character. 
2026-05-29 11:39:07,371 | INFO | __main__ | Displays a menu to the user 
2026-05-29 11:39:11,500 | INFO | __main__ | Asks for a choice from the user 
2026-05-29 11:39:11,500 | DEBUG | __main__ | Checks the correctness of the selection 
2026-05-29 11:39:11,501 | INFO | __main__ | Shows the user the shapes created - if any 
2026-05-29 11:39:11,501 | INFO | __main__ | Displays a menu to the user 
2026-05-29 11:39:13,407 | INFO | __main__ | Asks for a choice from the user 
2026-05-29 11:39:13,408 | DEBUG | __main__ | Checks the correctness of the selection 
2026-05-29 11:39:13,408 | INFO | __main__ | User exits the program 
